AB,ACBX,ACD,ACTO,CA,COR_CBCF,COR_CE,COR_CMCS,F_AGA_CEMS,F_EUPH_PLU,F_FUN_CECF,F_FUN_CMR,F_MER_CEMS,F_MER_PLE_PLOC,F_SC_ALC,F_SC_NEP,F_SC_XEN,F_SID_COS_PSA,G_ACA_MIC_HOM,G_AST,G_DIP,G_ECH_CB,G_ECH_OTH,G_GAL,G_GON_ALV_BER,G_HEL,G_HYD_CB,G_HYD_OTH,G_ISO_CSE,G_LEP,G_LOB_AUST,G_MER,G_MIL,G_MON,G_MYC,G_OXY_ECL_ECY,G_PAC,G_PEC,G_POC,G_POR_B,G_POR_CECS,G_POR_M,G_SER,G_STY,G_TUB_HET,G_TUR_DUN,IN,MA_BROWN,MA_GREEN,MA_OTH,MA_RED,OT,S_POR_RUS,SC_GORG_LIKE,SC_OTH,SC_OTH_E,SP,TA,ZOA
8.0,0.8,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,8.0,0.0,3.2,71.2,1.6
4.666666667,0.0,0.0,0.0,0.666666667,0.0,1.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,22.66666667,0.0,0.0,55.33333333,0.0
0.64516129,0.64516129,0.0,0.64516129,0.0,0.0,0.64516129,0.0,0.0,0.0,0.0,0.0,0.0,0.64516129,6.451612903,0.0,0.0,0.0,0.0,0.0,0.64516129,0.0,0.0,0.0,1.935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64516129,0.0,0.0,0.64516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.580645161,0.0,0.64516129,21.93548387,0.0,1.290322581,60.0,0.0
5.333333333,0.0,0.0,0.0,0.0,0.0,1.333333333,0.0,0.0,0.0,0.0,0.0,1.333333333,1.333333333,2.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.666666667,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,2.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.333333333,0.0,0.0,71.33333333,0.0
1.333333333,0.0,0.0,0.0,0.666666667,0.0,2.0,3.333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,1.333333333,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,13.33333333,0.0,2.0,69.33333333,0.0
7.857142857,0.0,0.0,0.0,0.714285714,0.0,0.714285714,0.714285714,0.0,0.0,0.0,0.0,0.0,0.0,6.428571429,0.0,0.0,0.714285714,0.0,0.0,2.142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.428571429,0.0,1.428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.714285714,0.0,0.0,14.28571429,0.0,0.0,57.14285714,0.0
0.714285714,0.714285714,0.0,2.857142857,0.0,0.0,1.428571429,0.714285714,0.0,0.0,0.0,1.428571429,2.857142857,0.714285714,2.857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714,0.0,0.0,3.571428571,0.714285714,0.714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714,0.0,2.857142857,11.42857143,0.0,0.714285714,62.85714286,0.0
2.962962963,0.0,0.740740741,0.0,0.740740741,0.0,0.740740741,0.740740741,0.0,0.0,0.0,1.481481481,0.740740741,0.0,5.185185185,0.0,0.0,0.0,0.0,0.0,2.962962963,0.0,2.222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222222222,0.740740741,0.0,5.185185185,0.0,1.481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.703703704,0.0,2.962962963,14.81481481,0.0,0.0,50.37037037,0.0
2.0,0.0,0.0,1.333333333,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,1.333333333,2.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,3.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,14.0,0.0,0.666666667,66.66666667,0.0
22.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.666666667,1.333333333,0.0,0.0,0.0,0.0,0.0,1.333333333,0.0,0.0,0.0,1.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.666666667,0.0,2.0,12.0,0.0,1.333333333,50.66666667,0.0
